MetaID,PACl Dose (mg/L),Nominal Dose (mg/L),Capture Velocity (mm/s),pH,Initial pH,Flow Rate (mL/s),Flocculator Head Loss (cm),Total Head Loss (cm),Datum (cm),AC Depth (cm),Air Temperature (C),Water Temperature (C),AC Temperature (C),Influent Turbidity (NTU),Influent SEM (NTU),Initial Influent (NTU),Effluent Turbidity (NTU),Effluent SEM (NTU),Absorbance,Absorbance SEM,Initial Absorbance
40,0,0,0.1,7.529753127,7.907978996,119.9946479,95.79894844,128.5930423,27.1,25.15709898,24.63773964,23.21173296,21.97651636,89.94439949,0.237669223,0.5,63.5701997,0.049532146,7.557474547,7.40E-05,0.050703333
41,0,0,0.2,7.583008796,7.907978996,119.9946479,95.66789043,128.6186125,27.1,25.24744629,24.6165276,23.15499224,22.02903183,90.6636734,0.224607535,0.5,73.00163176,0.045108913,7.598550106,5.31E-05,0.050703333
42,0,0,0.3,7.603483434,7.907978996,119.9946479,95.58509727,128.6174154,27.1,25.17516008,24.67810066,23.17419073,21.98003136,90.26119957,0.175782419,0.5,76.19579979,0.029003373,7.606214948,3.31E-05,0.050703333
43,0,0,0.4,7.613614178,7.907978996,119.9946479,95.52526299,128.4727499,27.1,25.13078424,24.63480919,23.17269739,21.99494682,90.0923999,0.181511838,0.5,78.59459976,0.021095972,7.619635582,4.33E-05,0.050703333
44,0,0,0.5,7.617273307,7.907978996,119.9946479,95.58579018,128.6158353,27.1,25.1828772,24.6804471,23.17896435,21.98921209,90.16729958,0.216332183,0.5,80.69589989,0.021939334,7.622678619,6.68E-05,0.050703333
45,0,0,0.6,7.625405636,7.907978996,119.9946479,95.40640422,128.6117346,27.1,25.24504321,24.66790356,23.17868355,21.98745945,90.0278571,0.406011835,0.5,82.47928483,0.034759038,7.629668576,0.00013324,0.050703333
46,0.423116691,0.41,0.1,7.456694388,7.971000339,117.1894144,104.7045483,129.3355027,27.46,25.27361042,24.85362621,23.27766331,21.98046553,89.90550003,0.162469892,0.064,3.433299988,0.019330227,7.522683797,1.47E-05,0.01869
47,0.422283131,0.41,0.2,7.567252435,7.971000339,117.1894144,104.7068054,129.3320507,27.46,25.26026909,24.99544872,23.25808138,21.99141838,90.00519966,0.191017715,0.064,5.292699971,0.021910217,7.605843854,1.95E-05,0.01869
48,0.423292021,0.41,0.3,7.618853402,7.971000339,117.1894144,104.5072921,129.2435506,27.46,25.2208943,25.02319237,23.24821709,21.99299631,89.90599983,0.202589596,0.064,12.00569996,0.037931157,7.652322469,4.63E-05,0.01869
49,0.42207096,0.41,0.4,7.668027449,7.971000339,117.1894144,104.5421352,129.3716837,27.46,25.29673838,25.01932467,23.25440464,21.97635633,89.81209953,0.206766224,0.064,25.18690001,0.061222849,7.675190573,4.22E-05,0.01869
50,0.419789964,0.41,0.5,7.690161152,7.971000339,117.1894144,104.5549432,129.2790192,27.46,25.29509762,25.04270884,23.25595112,21.99792149,89.94299995,0.199447433,0.064,37.83179966,0.068067756,7.713184714,4.07E-05,0.01869
51,0.417812458,0.41,0.6,7.721227208,7.971000339,117.1894144,104.3947714,129.3354816,27.46,25.24608917,25.08038055,23.25697517,22.00794037,89.90199951,0.380576287,0.064,48.45239944,0.204838377,7.712970352,0.000147341,0.01869
52,0.898510316,0.88,0.1,7.595426264,7.923394817,115.8203792,90.64704468,129.6767632,27.61,25.21647882,24.78738735,23.26335856,21.98540664,90.30129967,0.26287828,0.091428571,0.8858,0.013071041,7.629012084,1.25E-05,0.0158
53,0.89615193,0.88,0.2,7.652605024,7.923394817,115.8203792,90.69655663,129.6608761,27.61,25.31396765,24.74670753,23.27121649,21.97630915,90.3503997,0.363310823,0.091428571,1.414800001,0.015096645,7.670764833,8.35E-06,0.0158
54,0.894583212,0.88,0.3,7.695282307,7.923394817,115.8203792,90.60072319,129.7190323,27.61,25.30216312,24.93547129,23.25834673,21.96252499,89.83859947,0.196703851,0.091428571,3.008199995,0.021931656,7.704219193,1.51E-05,0.0158
55,0.893058876,0.88,0.4,7.704226341,7.923394817,115.8203792,90.50280746,129.8036501,27.61,25.28667316,25.04808928,23.26680014,21.99049023,89.90939972,0.242386574,0.091428571,7.864699974,0.035939187,7.715380049,2.45E-05,0.0158
56,0.892363557,0.88,0.5,7.723948035,7.923394817,115.8203792,90.38900833,129.6469521,27.61,25.40194305,25.10053003,23.27318012,22.02228924,89.83189987,0.221207331,0.091428571,16.21719985,0.057974405,7.721437902,4.13E-05,0.0158
57,0.896083996,0.88,0.6,7.720645211,7.923394817,115.8203792,90.31764314,129.5798104,27.61,25.35577456,25.03481663,23.28549246,21.99305471,89.66181807,0.299923675,0.091428571,26.64060598,0.108002647,7.729885636,9.95E-05,0.0158
58,1.419795728,1.4,0.1,7.647199478,7.969683694,115.3711147,91.86014168,130.153509,27.16,25.27513025,24.92844631,23.23826284,21.99634514,90.02279976,0.155993296,0.184000004,0.4503,0.007548436,7.649419794,1.04E-05,0.01392
59,1.418748265,1.4,0.2,7.644118176,7.969683694,115.3711147,91.73298012,130.2598453,27.16,25.34344589,25.0300201,23.26965517,21.98818485,90.31129974,0.219457784,0.184000004,0.810399999,0.015251375,7.645893593,1.11E-05,0.01392
60,1.415442009,1.4,0.3,7.64598736,7.969683694,115.3711147,91.36601061,130.0988188,27.16,25.26686789,25.0455391,23.26649553,22.00309032,90.06584107,0.268524171,0.184000004,1.221584155,0.011951,7.640253629,1.22E-05,0.01392
61,1.415974361,1.4,0.4,7.642560591,7.969683694,115.3711147,91.29789452,130.0849599,27.16,25.31200399,25.00548639,23.30085583,21.99844414,89.8867997,0.33741904,0.184000004,2.995100001,0.019130332,7.645113855,1.53E-05,0.01392
62,1.414874939,1.4,0.5,7.640766569,7.969683694,115.3711147,91.02450131,130.0940301,27.16,25.29536787,25.09397879,23.29118483,21.99736397,89.89683178,0.337244164,0.184000004,6.992871274,0.040023343,7.640414993,2.76E-05,0.01392
63,1.414104708,1.4,0.6,7.640980017,7.969683694,115.3711147,91.18410171,130.0038183,27.16,25.35890629,25.13105162,23.29738396,21.98876366,90.0397371,0.414585706,0.184000004,13.96315793,0.147578892,7.649447754,0.000469239,0.01392
64,2.05292687,2.01,0.1,7.510803519,7.823981073,112.5763565,90.88053513,130.7188442,26.59,25.22399824,24.67687695,23.17496004,21.9805562,90.18169952,0.185294777,0.104444444,0.316499997,0.008327119,7.531072598,9.50E-06,0.013
65,2.053261484,2.01,0.2,7.530818791,7.823981073,112.5763565,90.44065399,130.7767201,26.59,25.22333429,24.80082609,23.17683931,21.9968733,89.97479942,0.186383406,0.104444444,0.514499997,0.010554692,7.547996354,1.19E-05,0.013
66,2.05475862,2.01,0.3,7.549093323,7.823981073,112.5763565,90.34848648,130.7053559,26.59,25.33050447,24.86851086,23.21081646,21.98124447,90.14229996,0.193889857,0.104444444,0.872999996,0.014143921,7.550843411,1.26E-05,0.013
67,2.05062399,2.01,0.4,7.559211712,7.823981073,112.5763565,90.15951172,130.8331637,26.59,25.30036199,24.91118677,23.22124954,22.01736027,89.82310005,0.175065447,0.104444444,2.316499993,0.022710909,7.558991132,2.13E-05,0.013
68,2.048031379,2.01,0.5,7.555130606,7.823981073,112.5763565,90.11522606,130.7330797,26.59,25.34347683,24.92443583,23.22729231,22.01155523,90.04699951,0.166928017,0.104444444,5.959999986,0.074021701,7.562137671,7.58E-05,0.013
69,2.035678625,2.01,0.6,7.562255332,7.823981073,112.5763565,89.93257784,130.7760541,26.59,25.28982765,25.00598717,23.24114267,21.9710223,90.00263114,0.356477679,0.104444444,12.57894739,0.362320993,7.567115106,0.000381815,0.013
70,2.77646011,2.72,0.1,7.512556424,7.785328751,110.8973653,90.64108597,130.0637905,27.26,25.35143673,24.90425699,23.19968525,21.97648512,89.74179977,0.239947997,0.0718,0.256499999,0.017191949,7.518957544,1.11E-05,0.009526
71,2.77498,2.72,0.2,7.516568728,7.785328751,110.8973653,90.39944634,130.0871617,27.26,25.2716662,24.96148069,23.21607429,21.98364019,90.02009979,0.190682594,0.0718,0.370799998,0.009883851,7.517516398,9.40E-06,0.009526
72,2.771308714,2.72,0.3,7.513869371,7.785328751,110.8973653,90.34670189,130.0529074,27.26,25.36317554,24.96865999,23.24635838,21.99518288,90.04939972,0.212339502,0.0718,0.681399997,0.011011491,7.516532851,1.25E-05,0.009526
73,2.786533068,2.72,0.4,7.517259546,7.785328751,110.8973653,90.37490595,130.1031312,27.26,25.31645648,25.04747374,23.25950504,22.00277064,90.04732619,0.18598212,0.0718,2.348217813,0.027038438,7.512118321,3.12E-05,0.009526
74,2.792327455,2.72,0.5,7.511630559,7.785328751,110.8973653,90.38851309,130.2010039,27.26,25.34882525,25.03475495,23.27776933,21.96832251,89.90504909,0.203074293,0.0718,6.254752443,0.106088659,7.514822653,0.000133369,0.009526
75,2.772697534,2.72,0.6,7.516640817,7.785328751,110.8973653,90.48569316,130.0281934,27.26,25.51566087,25.1096507,23.29735227,22.07085566,90.39193603,0.405048302,0.0718,11.46516129,0.137585044,7.508856957,0.000118845,0.009526
76,0,0,0.1,7.723626533,8.088253315,117.1894144,92.18575859,130.2950093,26.89,25.30849602,24.5219541,23.05941362,22.00642111,90.16879944,0.231018102,0.045212766,54.98499996,0.068114059,7.726948485,9.46E-05,0.015957447
77,0,0,0.2,7.724255862,8.088253315,117.1894144,92.09992882,130.3338163,26.89,25.07616085,24.33239838,23.00991501,21.99756514,89.98849945,0.194980872,0.045212766,63.61629982,0.047152797,7.727719221,8.08E-05,0.015957447
78,0,0,0.3,7.734360177,8.088253315,117.1894144,92.24433767,130.2914191,26.89,25.25668989,24.21211687,22.97999971,21.99025539,90.35344814,0.245197793,0.045212766,68.12810253,0.041829337,7.727754437,3.26E-05,0.015957447
79,0,0,0.4,7.731827455,8.088253315,117.1894144,92.22667351,130.2744278,26.89,25.18336004,24.15730377,22.95200907,22.00967289,89.72749947,0.188426151,0.045212766,72.04639999,0.030682295,7.740752597,3.36E-05,0.015957447
80,0,0,0.5,7.736567181,8.088253315,117.1894144,92.20259925,130.2568853,26.89,25.2325308,24.10644459,22.94926919,22.03604691,90.0961377,0.199256397,0.045212766,73.80792055,0.026637776,7.733841891,3.24E-05,0.015957447
81,0,0,0.6,7.734694386,8.088253315,117.1894144,92.01233521,130.3132904,26.89,25.15405807,24.07850772,22.93180406,21.95193972,89.96628658,0.264451941,0.045212766,75.19342804,0.039858869,7.747499439,2.10E-05,0.015957447
82,0.410313049,0.41,0.1,7.644865676,8.074025068,115.3711147,97.85106911,130.0905227,27.16,25.13362165,24.4340172,21.74566401,21.9898793,90.02629974,0.230747773,0.031590909,2.463099993,0.026466939,7.647973185,1.74E-05,0.014447727
